section,code,question,help,condition,answer_format,answer_file,de,nl,uk,us,zaf,nzl,aus,can,world,country_specific,other,random,mandatory,public,trans_de-informal,trans_fr
2,currentEmp1,Please select your organization type,,,ONE CHOICE,type_organisation,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Wo arbeitest Du?,Veuillez indiquer la nature de votre organisation.
2,currentEmp2,Which university do you work for?,,"(currentEmp1 = ""University"")",ONE CHOICE,universities,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,FALSE,An welcher Universität arbeitest Du?,
2,currentEmp20de,Which Fraunhofer institute do you work for?,,"(currentEmp1 = ""Fraunhofer Society"")",ONE CHOICE,fraunhofer_de,Y,,,,,,,,,Y,Y,,Y,FALSE,An welchem Fraunhofer-Institut arbeitest Du?,
2,currentEmp21de,Which Helmholtz institute do you work for?,,"(currentEmp1 = ""Helmholtz Association of German Research Centres"")",ONE CHOICE,hgf_de,Y,,,,,,,,,Y,Y,,Y,FALSE,An welchem Helmholtz-Institut arbeitest Du?,
2,currentEmp22de,Which Leibniz institute do you work for?,,"(currentEmp1 = ""Leibniz Association"")",ONE CHOICE,leibniz_de,Y,,,,,,,,,Y,Y,,Y,FALSE,An welchem Leibniz-Institut arbeitest Du?,
2,currentEmp23de,Which Max-Planck institute do you work for?,,"(currentEmp1 = ""Max Planck Society"")",ONE CHOICE,mpg_de,Y,,,,,,,,,Y,Y,,Y,FALSE,An welchem Max-Planck-Institut arbeitest Du?,
2,currentEmp24de,Which University of Applied Sciences?,,"(currentEmp1 = ""University of Applied Sciences"")",ONE CHOICE,fh_de,Y,,,,,,,,,Y,Y,,Y,FALSE,An welcher Fachhochschule arbeitest Du?,
2,currentEmp5,What is your official job title?,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,FALSE,Wie ist Deine offizielle Stellenbezeichnung (Job Title)?,Quel est le titre officiel de votre poste?
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,FALSE,"Bist Du innerhalb Deiner Gruppe unter einer anderer Stellenbezeichung bekannt? Wenn ja, wie heißt diese?",
2,currentEmp12,Do you work full time or part time,,,ONE CHOICE,type_hours,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,,Bist Du Vollzeit oder Teilzeit beschäftigt?,
2,currentEmp10,What is the nature of your current employment?,,,ONE CHOICE,type_contract,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Auf welcher Art von Arbeitsvertrag bist Du beschäftigt?,Quelle est la nature de votre emploi actuel?
2,currentEmp9,When did you start your current position?,,,DATETIME,,Y,,Y,Y,Y,Y,Y,,Y,,,,,FALSE,Welches Startdatum hat Dein jetziger Arbeitsvertrag bzw. Dein jetziges Arbeitsverhältnis?,
2,currentEmp11,What is the expected duration (in years) of your current position (in total)?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Welche Dauer (in Jahren) hat Dein jetziger Arbeitsvertrag bzw. Dein jetziges Arbeitsverhältnis?,
2,currentEmp13,Please select the discipline in which you work. Please select all that apply.,,,MULTIPLE CHOICES,academic_field,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,In welchen Bereichen arbeitest Du? (wähle alle zutreffenden),Veuillez indiquer la discipline dans laquelle vous travaillez. Cocher toutes les réponses qui s’appliquent.
3,prevEmp1,Where was your previous job based?,,,ONE CHOICE,type_organisation,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,,,,Wo hast Du in Deinem vorherigem Job gearbeitet?,
3,prevEmp2,Rank the following factors dependent on how strongly they influenced your decision to accept your current position,,,Ranking,decision_job,Y,,Y,Y,Y,Y,Y,,Y,,,,Y,,"Ordne die folgenden Faktoren dem Einfluß nach an, den sie auf Deinen Entschluß, Deine jetzige Position anzutreten, hatten.",
4,currentWork1,"Do you always work with the same researchers, or do you regularly change the researchers you work with? ",,,ONE CHOICE,work_researchers,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Arbeitest Du regelmässig mit den selben Wissenschaftlern oder arbeitest Du oft mit bzw. für verschiedene Wissenschaftler?,Travaillez-vous toujours avec le ou les mêmes chercheurs ou les chercheurs avec lesquels vous travaillez changent-ils fréquemment?
4,currentWork2,Are you part of a dedicated research software group within your institution?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Arbeitest Du in einer Gruppe,Êtes-vous membre d’une équipe dont le seul but est de créer des logiciels scientifiques à votre institution?
4,paper2mod,"In general, when your software contributes to a paper, are you acknowledged in that paper?",,,ONE CHOICE,paper,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,"Wenn deine Software zu einer Publikation beigeträgst, wirst Du dafür normalerweise namentlich in der Publikation erwähnt bzw. zitiert?","En général, les articles mentionnent-ils votre participation quand votre logiciel a concouru à la publication de résultats scientifiques dans un périodique?"
4,conf1can,Have you presented your software work at a conference or workshop?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Hast Du Deine software-bezogene Arbeit schon mal auf einer Konferenz oder einem Workshop vorgestellt?,Avez-vous déjà présenté votre travail de développement lors d’un colloque ou un atelier?
4,conf2can,At which conference(s)/workshop(s) have you presented your software work?,,"(conf1can = ""Yes"")",FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Auf welcher Konferenz oder auf welchem Workshop hast Du Deine software-bezogene Arbeit vorgestellt? (Gib Deine Antworten bitte als Komma separierte Liste ein, z.B. NAME (ABKÜRZUNG), ABKÜRZUNG, ...)",Dans quel(s) colloque(s) ou atelier(s) avez-vous présenté votre travail de développement?
4,proj1can,How many software projects are you currently involved in?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,In wie vielen Softwareprojekten bis Du derzeit direkt involviert?,À combien de projets de développement participez-vous présentement?
4,proj2can,How many software developers typically work on your projects?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviele Entwickler arbieten typischerweise an Deinen Softwareprojekten?,Combien de développeurs travaillent-ils habituellement sur vos projets?
4,proj7can,What percentage of these developers are dedicated to the project full time?,,,FREENUMERIC,,,,,,,,,Y,Y,,,,,,,Quel proportion de ces développeurs concentrent-ils tout leur temps au projet?
4,proj8can,Do your research software projects typically include a project manager?,,,Y/N/NA,,,,,,,,,Y,Y,,,,Y,,,Vos projets de logiciels scientifiques sont-ils habituellement encadrés par un gestionnaire?
4,stability1,What is the bus factor of your most important software project? (The bus factor designates the minimal number of developers that have to be hit by a bus (or quit) before a project is incapacitated),,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,,"Wie hoch ist der Busfaktor Deines wichtigsten Softwareprojektes? (Der Busfaktor gibt die Anzahl von Mitarbeitern oder Teammitgliedern an, die plötzlich in einem Projekt ausfallen können, so dass das Projekt aufgrund fehlender Knowhow-Träger und Schlüsselpersonen stehenbleibt bzw. stirbt.)",
4,stability2,Do the projects you work on typically have a plan to cope with developers leaving the group?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,"Haben die Projekte, an denen Du arbeitest, in der Regel einen Plan, um mit dem Ausscheiden bzw. Wechsel von Entwicklern umzugehen?",Les projets sur lesquels vous travaillez habituellement ont-ils un plan pour remédier au départ inopiné d’un développeur de l’équipe?
4,proj4can,How are your projects typically tested? Please check all that apply.,,,MULTIPLE CHOICES,testing,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Welche Art von Tests wendest Du im allgemeinen auf Deine Software an? (wähle alle zutreffenden),De quelle manière les projets sont-ils habituellement testés? Cochez toutes les réponses qui s’appliquent.
4,proj5can,What development methodology does your current project use?,,,ONE CHOICE,methodology,,,,,,,,Y,Y,,Y,,Y,,,Quelle méthode de développement votre projet actuel utilise-t-il?
4,open1can,How often do you use an open-source licence for your software?,,,LIKERT,likert_time_10_neutral,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,"Wie oft veröffentlichst Du Software(-projekte), an denen Du mitgearbeitet hast, unter einer Open-Source-Lizenz?",
4,open2de,How often do you reference software directly or the papers describing the software?,,,LIKERT,likert_time_10_neutral,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,,Wie oft referenzierst Du die Software selbst oder das beschreibende Paper?,
4,open3can,How often do you associate your software with a Digital Object Identifier (DOI)? ,,,LIKERT,likert_time_10_neutral,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,Wie oft weist Du Deiner Software DOIs (Digital Object Identifier) zu,À quelle fréquence associez-vous un identifiant d’objet numérique (DOI) à vos logiciels?
4,open3de,"Which tools do you use to mint a DOI (e.g. local library, Zenodo)?",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,"Welche Werkzeuge nutzt Du, um DOIs zuzuweisen (z. Bsp. Bibliothek vor Ort, Zenodo)?","Quels outils (infrastructure) utilisez-vous quand vous attribuez un DOI à votre logiciel (par ex., bibliothèque locale, Zenodo)?"
4,open1de,Do you have an ORCID ID?,,,ONE CHOICE,orcid,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Hast Du eine ORCID ID?,Avez-vous un identifiant ORCID ID?
4,proj5zaf,Which version control tools do you use for software development?,,,MULTIPLE CHOICES,version_tools,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,Welche Tools zur Versionskontrolle verwendest Du für die Softwareentwicklung?,"Quels outils, s’il y a lieu, utilisez-vous pour suivre les versions du logiciel développé?"
4,proj6zaf,Which online collaboration tools and open repositories do you use for software development?,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Welche online-basierten Kollaborationswerkzeuge und offenen Repositorien verwendest Du für die Softwareentwicklung?,"Quels outils de collaboration ou dépôts ouverts en ligne, s’il y a lieu, utilisez-vous lors du développement du logiciel?"
4,train2,"On average, how many times a year do you take part in providing training? ",,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Y,,Wie oft im Jahr gestaltest Du Workshops oder andere Weiterbildungen als Lehrender / Instructor?,
4,train3,"What training programs are you involved with (comma separated list, e.g., Software Carpentry, local university training, etc.) ",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"In welchen Workshops, Weiterbildungsprogrammen o.ä. bist Du involviert? (Gib Deine Antworten bitte als Komma separierte Liste ein; z.B., Software Carpentry, Lehrgang an Universitäten, etc.) ",
4,fund2,Which of the following sources are used to pay for your effort as an RSE? ,,,MULTIPLE CHOICES,funding,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,Welche der folgenden Quellen finanzieren Deine Arbeit als Software entwickelnder Mitarbeiter?,
4,fund1can,How is your current research software work funded?,,,ONE CHOICE,funding_can,,,,,,,,Y,,,Y,,,,,Qui finance votre travail actuel sur les logiciels scientifiques? Cocher toutes les réponses qui s’appliquent.
5,proj6uk,"We're interested in the difference in coding habits between people who identify as RSEs and other researchers who code. Could we take a look at your code? If so, please enter your Github ID here (if you use it for your professional work). We will not share this information with anyone.",,,FREETEXT,,,,Y,,,,,,Y,,,,,N,,
6,satisGen1,"In general, how satisfied are you with your current position",,,LIKERT,likert_satisfied_10,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie bist Du mit Deiner Position insgesamt zufrieden?,
6,satisGen2,"In general, how satisfied are you with your career",,,LIKERT,likert_satisfied_10,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Wie bist Du insgesamt mit Deiner Karriere zufrieden?,
6,recog1,Do you feel that your contribution to research is recognised by your supervisor/line manager,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von Deinem/r  Vorgesetzten anerkannt wird?",
6,recog2,Do you feel that your contribution to research is recognised by the researchers you work with,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von den Wissenschaftlern, mit denen Du zusammen arbeitest, anerkannt wird?",
6,recog3,Do you feel that your contribution to research is recognised by your institution?,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Bist Du der Meinung, dass Dein Beitrag zur Forschung von Deiner Institution anerkannt wird?",
6,turnOver3,How often do you consider leaving your job?,,,LIKERT,likert_time_10_neutral,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Wie oft denkst Du daran, Deinen Job an den Nagel zu hängen?",
6,turnOver6,I would accept another job at the same compensation level if I was offered it,,,LIKERT,likert_agree,Y,,Y,Y,Y,Y,Y,,Y,,,,,,"Ich würde einen anderen Job mit der selben Bezahlung annehmen, wenn ich ein solches Angebot bekommen würde.",
6,percEmp1,It would not be very difficult for me to get an equivalent job in a different institution,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es wäre nicht schwer für mich, einen ähnlichen Job woanders zu bekommen.",
6,percEmp3,My experience is in demand on the labour market,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Meine Erfahrung ist auf dem Arbeitsmarkt gefragt.,
6,progRSE1,It is likely that I will gain a promotion within my current group ,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es ist wahrscheinlich, dass ich in meiner derzeitigen Arbeits-/Forschungsgruppe befördert werde.",
6,progRSE2,The process I have to complete to gain a promotion is clear and understandable,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Das Verfahren für eine Beförderung ist bekannt, klar und verständlich.",
6,progRSE3,There are many opportunities within my chosen career plan,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Es gibt viele Möglichkeiten in dem von mir gewählten Karriereplan.,
6,progRSE5,It is likely that my next position will be an Research Software Engineer / Research Software Developer role,,,LIKERT,likert_agree,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,"Es ist wahrscheinlich, dass ich in meiner nächsten Position als RSE tätig sein werde.",
7,socio2,Please select your gender,,,ONE CHOICE,gender,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,Dein Geschlecht,
7,socio5,"How would you describe your ethnic origin?  This refers to people who share the same cultural background and identity, not country of birth or nationality. ",,,MULTIPLE CHOICES,ethnicity,,,Y,Y,,,,,,Y,Y,,,,,
7,socio5us,Do you consider yourself Hispanic or Latino,,,ONE CHOICE,latino,,,,Y,,,,,,Y,,,,,,
7,disa1,Do you have a condition that is defined as a disability by your country?,,,Y/N/NA,,,,Y,,,,,,,,,,,,,
7,socio3,Please select your age,,,ONE CHOICE,age,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Dein Alter,
7,socio4,Please select the range of your salary,,,ONE CHOICE,salary,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,FALSE,Bitte wähle Deine Gehaltsklasse aus!,
7,socio10de,Please select your renumeration group according to your collective bargaining agreement,,,ONE CHOICE,entgeltgruppe_de,Y,,,,,,,,,Y,,,,FALSE,Bitte wähle Deine Entgeltgruppe aus!,
7,socio11ausnzl,What is the category of your pay-scale?,,,ONE CHOICE,salary_category,,,,,,Y,Y,,,Y,Y,,,FALSE,,
7,socio12ausnzl,What is your academic pay-level?,,"(socio11ausnzl = ""Academic"")",ONE CHOICE,levels_academic,,,,,,Y,Y,,,Y,Y,,,FALSE,,
7,socio13ausnzl,What is your pay-level?,,"(socio11ausnzl = ""Professional"")",ONE CHOICE,levels_professional,,,,,,Y,Y,,,Y,Y,,,FALSE,,
7,socio14ausnzl,What is your government pay-level?,,"(socio11ausnzl = ""Government"")",ONE CHOICE,levels_government,,,,,,Y,Y,,,Y,,,,FALSE,,
8,ukrse1,"Are you a member of an association of Research Software Developers (e.g. AUS-RSE, CANARIE, DE-RSE, NZ_RSE, UK RSE, …)?",,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Bist Du Mitglied in einem Verband von Research Software Engineers (z. B. UK RSE, de-RSE, NL-RSE)?","Faites-vous partie d’une association de développeurs de logiciels scientifiques (par ex., la RSE du R.-U.)?"
8,org1can,Would you be interested in joining such an organisation?,,"(ukrse1 = ""No"")",Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Bist Du daran interessiert, einer solchen Organisation beizutreten?",Aimeriez-vous être membre d’une telle organisation si on en créait une au Canada?
8,org2can,What would you hope to get out of such an organisation (check all that apply)?,,"(org1can = ""Yes"")",MULTIPLE CHOICES,rse_benefits,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Was würdest Du von einer solchen Organisation erwarten? (wähle alle zutreffenden),Que vous attendriez-vous à retirer de l’adhésion à une telle organisation? Cocher toutes les réponses qui s’appliquent.
8,tool2,Which operating system do you primarily use for development?,,,ONE CHOICE,os,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Welches Betriebssystem bevorzugst Du auf Arbeit?,Quel système d’exploitation utilisez-vous principalement pour le développement?
8,tool4can,What programming languages do you use at work? Please select all that apply.,,,MULTIPLE CHOICES,programming_language,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,Welche Programmiersprachen nutzt Du auf Arbeit? (wähle alle zutreffenden),Quels langages de programmation utilisez-vous au travail? Cocher toutes les réponses qui s’appliquent.
8,tool5can,On which platform(s) is your most recent research software project deployed? Please select all that apply.,,,MULTIPLE CHOICES,plateform,,,,,,,,Y,,Y,,,,,,Sur quelle(s) plateforme(s) votre plus récent logiciel de recherche a-t-il été déployé? Cocher toutes les réponses qui s’appliquent.
8,ukrse3,How did you learn the skills you need to become an Research Software Engineer / Research Software Developer? ,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wie hast Du Dir die Fähigkeiten angeeignet bzw. wie bist Du zu den Fähigkeiten gekommen, um Software im wissenschaftlichen Umfeld zu entwickeln?",Comment avez-vous acquis les compétences requises pour devenir développeur de logiciels scientifiques?
8,ukrse12de,Would you like to attend a conference about software development in academia?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Würdest Du gern eine Konferenz über Softwareentwicklung in der Wissenschaft besuchen?,Aimeriez-vous assister à un colloque sur le développement de logiciels dans les universités?
8,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer/ Research Software Developer? The skills can be technical and non-technical.,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Welche drei Fähigkeiten, die Dir bei der Arbeit in Bezug auf Sofwareentwicklung hilfreich sind, würdest Du gern erwerben oder vertiefen? Dies können technische oder nicht-technische Fähigkeiten sein.",Nommez les trois compétences que vous aimeriez acquérir ou perfectionner pour vous aider dans le développement de logiciels de recherche. Ces compétences peuvent être de nature technique ou pas.
